Capital,Coord_X,Coord_Y
A Coruna,53552,4812158
Albacete,592933,4316250
Alicante,709971,4247071
Almeria,542981,4079979
Avila,361664,4500055
Badajoz,149842,4317136
Barcelona,932459,4594847
Bilbao,508681,4788582
Burgos,445839,4690317
Caceres,220752,4371131
Cadiz,204618,4046559
Castellon,751082,4428014
Ciudad Real,423371,4312781
Cordoba,345033,4193570
Cuenca,584528,4436573
Girona,980376,4662966
Granada,440733,4115167
Guadalajara,482012,4501235
Huelva,149830,4131595
Huesca,713175,4662444
Jaen,434033,4184088
Leon,289115,4716800
Lleida,801359,4612825
Logrono,545041,4699569
Lugo,130102,4773807
Madrid,440898,4474447
Malaga,372293,4065293
Murcia,661633,4204859
Ourense,97837,4701517
Oviedo,269229,4809222
Palencia,378775,4651336
Pamplona,612852,4741339
Pontevedra,31482,4714198
Salamanca,280851,4535836
San Sebastian,582772,4796357
Santander,433431,4812385
Segovia,403426,4533038
Sevilla,249372,4140024
Soria,551322,4624958
Tarragona,860311,4559903
Teruel,664215,4469796
Toledo,408044,4412235
Valencia,714474,4370390
Valladolid,359301,4608389
Vitoria-Gasteiz,523910,4748139
Zamora,278190,4592186
Zaragoza,667447,4612340
